"Travel";"Travel"
"Travels";"Travels"
"travel";"travel";"travels"
"View All Listings";"View All Listings"
"Travel Listings";"Travel Listings"
"Delete Travel Listing?";"Delete Travel Listing?"
"Are you sure that you want to delete the travel listing with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted.";"Are you sure that you want to delete the travel listing with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted."

"Delete";"Delete"
"or";"or"
"cancel";"cancel"

"ADMIN_ACTIVITY_TYPE_TRAVEL_NEW";"When a user (subject) posts a new travel listing (object)."
"ADMIN_ACTIVITY_TYPE_COMMENT_TRAVEL";"When a user (subject) comments on another user's (object) travel listing."
"ADMIN_ACTIVITY_TYPE_LIKE_TRAVEL";"When a user (subject) likes another user's (object) travel listing."

"_ACTIVITY_ACTIONTYPE_TRAVEL_NEW";"New travel listings"
"_ACTIVITY_ACTIONTYPE_COMMENT_TRAVEL";"Comments on your travel listings"
"_ACTIVITY_ACTIONTYPE_LIKE_TRAVEL";"When I liked the travel listings"

"ACTIVITY_TYPE_COMMENTED_TRAVEL";"When someone comments on a travel listing I commented on."
"ACTIVITY_TYPE_COMMENT_TRAVEL";"When someone comments on my travel listing."
"ACTIVITY_TYPE_LIKE_TRAVEL";"When someone likes one of my travel listings."
"ACTIVITY_TYPE_LIKED_TRAVEL";"When someone comments on a travel listing I liked."
"ACTIVITY_TYPE_TRAVEL_NEW";"When a new travel listing is posted."

"ACTIVITY_CATEGORY_TYPE_TRAVEL";"Travel"

"Main Photo";"Main Photo"

"Post New Listing";"Post New Listing"
"Showing travel listings using the tag";"Showing travel listings using the tag"
"Showing travel listings created on";"Showing travel listings created on"

"map";"map"

"No one has posted a travel listing with that criteria.";"No one has posted a travel listing with that criteria."
"Be the first to %1$spost%2$s one!";"Be the first to %1$spost%2$s one!"
"No one has posted a travel listing yet.";"No one has posted a travel listing yet."
"Be the first to %1$spost%2$s one!";"Be the first to %1$spost%2$s one!"

"Search Travel";"Search Travel"
"All Categories";"All Categories"

